"Var1" "Freq"
"1" "226" 29
"2" "231" 3
"3" "236" 1
"4" "240" 4
"5" "250" 0
"6" "251" 1
"7" "260" 1
"8" "262" 8
"9" "274" 4
"10" "276" 0
"11" "283" 12
"12" "284" 6
"13" "296" 21
"14" "298" 6
"15" "306" 83
"16" "311" 0
"17" "319" 1
"18" "327" 9
"19" "331" 0
"20" "335" 2
"21" "3401" 0
"22" "3421" 5
"23" "3461" 35
"24" "3481" 1
"25" "3511" 62
"26" "3551" 51
"27" "3581" 74
"28" "3611" 3
"29" "3641" 41
"30" "3661" 20
"31" "3691" 43
"32" "3721" 44
"33" "3761" 1
"34" "3771" 2
"35" "3821" 22
"36" "3831" 5
