"Var1" "Freq"
"1" "224" 13
"2" "228" 32
"3" "2320" 30
"4" "238" 3
"5" "248" 9
"6" "253" 6
"7" "254" 24
"8" "263" 17
"9" "272" 6
"10" "282" 3
"11" "279" 0
"12" "288" 28
"13" "2951" 18
"14" "301" 24
"15" "308" 41
"16" "310" 18
"17" "317" 0
"18" "326" 19
"19" "334" 2
"20" "330" 0
"21" "3381" 5
"22" "3431" 8
"23" "3441" 14
"24" "3471" 28
"25" "3521" 27
"26" "3541" 71
"27" "3561" 66
"28" "3591" 63
"29" "3621" 4
"30" "3652" 12
"31" "3681" 13
"32" "3711" 0
"33" "3741" 6
"34" "3791" 0
"35" "3801" 13
"36" "3851" 2
