"Var1" "Freq"
"1" "225" 0
"2" "229" 31
"3" "234" 2
"4" "239" 3
"5" "249" 0
"6" "252" 36
"7" "261" 0
"8" "264" 2
"9" "273" 8
"10" "275" 0
"11" "281" 0
"12" "287" 21
"13" "2950" 6
"14" "297" 9
"15" "309" 44
"16" "312" 0
"17" "318" 12
"18" "321" 0
"19" "336" 11
"20" "337" 2
"21" "3391" 0
"22" "3413" 4
"23" "3451" 25
"24" "3491" 0
"25" "3501" 2
"26" "3531" 2
"27" "3571" 7
"28" "3601" 20
"29" "3631" 0
"30" "3671" 67
"31" "3701" 8
"32" "3731" 39
"33" "3751" 15
"34" "3781" 15
"35" "3811" 7
"36" "3841" 0
